1975,3529434,Angola,501830,Guinea,300000,Rwanda,175720
1976,4270631,Guinea,500000,Angola,499190,Rwanda,176410
1977,4518659,Ethiopia,655350,Angola,529830,Dem. Rep. of the Congo,264940
1978,5065844,Ethiopia,887670,Angola,646110,Rwanda,175110
1979,6279912,Ethiopia,1623870,Angola,652980,Afghanistan,500000
1980,8454937,Ethiopia,2567998,Afghanistan,1734921,Angola,449030
1981,9714306,Afghanistan,3879984,Ethiopia,1363266,Angola,457060
1982,10319369,Afghanistan,4488214,Ethiopia,1334915,Angola,465891
1983,10620803,Afghanistan,4712735,Ethiopia,1351917,Viet Nam,328399
1984,10728326,Afghanistan,4417651,Ethiopia,1546134,Angola,357821
1985,11864062,Afghanistan,4653193,Ethiopia,1749309,Iraq,401503
1986,12633974,Afghanistan,5094283,Ethiopia,1534548,Iraq,400745
1987,13128347,Afghanistan,5511740,Ethiopia,1487663,Mozambique,635000
1988,14347051,Afghanistan,5622982,Ethiopia,1513307,Mozambique,921238
1989,14732934,Afghanistan,5643989,Ethiopia,1474919,Mozambique,1120758
1990,17395979,Afghanistan,6339095,Ethiopia,1345928,Mozambique,1247992
1991,16854795,Afghanistan,6306301,Iraq,1321853,Mozambique,1316636
1992,17838074,Afghanistan,4552153,Mozambique,1445474,Iraq,1343824
1993,16325525,Afghanistan,3374576,Mozambique,1172550,Burundi,871382
1994,15753691,Afghanistan,2731169,Rwanda,2257573,Liberia,797835
1995,14896085,Afghanistan,2679133,Rwanda,1819366,Bosnia and Herzegovina,769753
1996,13357072,Afghanistan,2674236,Bosnia and Herzegovina,993868,Liberia,784008
1997,12015350,Afghanistan,2676674,Bosnia and Herzegovina,849241,Iraq,707338
1998,11480860,Afghanistan,2667115,Iraq,675030,Bosnia and Herzegovina,640075
1999,11689358,Afghanistan,2568243,Iraq,604002,Bosnia and Herzegovina,554419
2000,12064599,Afghanistan,3587336,Burundi,568084,Iraq,526179
2001,12031996,Afghanistan,3809767,Burundi,553999,Iraq,530511
2002,10594055,Afghanistan,2510285,Burundi,574555,Sudan,508871
2003,9592795,Afghanistan,2136043,Sudan,606242,Burundi,531637
2004,9229913,Afghanistan,2084109,Sudan,730647,Burundi,485454
2005,8661988,Afghanistan,2166149,Sudan,693632,Burundi,438706
2006,9877703,Afghanistan,2107519,Iraq,1450905,Sudan,686311
2007,11388967,Afghanistan,3055698,Iraq,2309245,Colombia,551744
2008,10478622,Afghanistan,2833128,Iraq,1903519,Somalia,561154
2009,10396538,Afghanistan,2887123,Iraq,1785212,Somalia,678309
2010,10549681,Afghanistan,3054709,Iraq,1683579,Somalia,770154
2011,10404804,Afghanistan,2664436,Iraq,1428308,Somalia,1077048
2012,10497545,Afghanistan,2586034,Somalia,1136714,Iraq,746197